PlexID	QuantBlock	ReporterName	ReporterAlias	MeasurementName
1	S1	1	126	R_01	R_01
2	S1	1	127N	R_03	R_03
3	S1	1	127C	R_02	R_02
4	S1	1	128N	R_05	R_05
5	S1	1	128C	R_04	R_04
6	S1	1	129N	S_02	S_02
7	S1	1	129C	S_01	S_01
8	S1	1	130N	S_04	S_04
9	S1	1	130C	S_03	S_03
10	S1	1	131	ref	NA
11	S2	1	126	R_01	R_01
12	S2	1	127N	R_03	R_03
13	S2	1	127C	R_02	R_02
14	S2	1	128N	R_05	R_05
15	S2	1	128C	R_04	R_04
16	S2	1	129N	S_02	S_02
17	S2	1	129C	S_01	S_01
18	S2	1	130N	S_04	S_04
19	S2	1	130C	S_03	S_03
20	S2	1	131	ref	NA
